Timestamp(s),Lux,RawAnalog,Voltage(V)
0.11,376.57,384,0.309
0.61,376.87,381,0.307
1.11,375.53,374,0.301
1.61,360.73,390,0.314
2.11,376.26,385,0.310
2.61,262.80,162,0.131
3.11,375.77,383,0.309
3.61,375.83,380,0.306
4.11,364.02,176,0.142
4.61,376.60,395,0.318
5.11,376.32,400,0.322
5.61,278.58,162,0.131
6.11,376.08,396,0.319
6.61,375.77,401,0.323
7.11,343.78,183,0.147
7.61,375.77,374,0.301
8.11,375.83,379,0.305
8.61,214.18,316,0.255
9.11,375.56,391,0.315
9.61,375.10,391,0.315
10.11,343.87,197,0.159
10.61,375.93,407,0.328
11.11,375.87,393,0.317
11.61,367.12,273,0.220
12.11,367.12,394,0.318
12.61,374.92,390,0.314
13.11,375.56,377,0.304
13.61,305.10,336,0.271
14.11,375.96,362,0.292
14.61,374.43,358,0.288
15.11,220.89,210,0.169
15.61,375.23,387,0.312
16.11,375.29,382,0.308
16.61,327.29,176,0.142
17.11,375.99,385,0.310
17.61,375.83,368,0.297
18.11,375.90,374,0.301
18.61,246.04,155,0.125
19.11,375.07,379,0.305
19.61,375.26,381,0.307
20.11,321.30,214,0.172
20.61,362.19,382,0.308
21.11,375.90,385,0.310
21.61,375.83,326,0.263
22.11,370.75,384,0.309
22.61,227.25,239,0.193
23.11,375.74,325,0.262
23.61,372.51,398,0.321
24.11,306.85,162,0.131
24.61,375.83,394,0.318
25.11,233.89,339,0.273
25.61,367.58,187,0.151
26.11,375.77,387,0.312
26.61,233.23,362,0.292
27.11,367.15,254,0.205
27.61,371.87,391,0.315
28.11,236.76,197,0.159
28.61,375.04,304,0.245
29.11,374.31,394,0.318
29.61,259.53,176,0.142
30.11,369.77,319,0.257
30.61,368.92,398,0.321
31.11,290.77,178,0.143
31.61,373.76,304,0.245
32.11,342.39,382,0.308
32.61,253.08,162,0.131
33.11,371.94,225,0.181
33.61,375.65,384,0.309
34.11,253.35,170,0.137
34.61,220.41,176,0.142
35.11,375.68,363,0.293
35.61,238.52,353,0.284
36.11,232.60,267,0.215
36.61,375.50,323,0.260
37.11,356.42,372,0.300
37.61,249.00,307,0.247
38.11,331.77,235,0.189
38.61,374.98,334,0.269
39.11,375.38,378,0.305
39.61,243.97,194,0.156
40.11,367.34,193,0.156
40.61,375.65,386,0.311
41.11,228.09,295,0.238
41.61,222.44,212,0.171
42.11,375.96,258,0.208
42.61,303.41,210,0.169
43.11,303.59,274,0.221
43.61,368.34,192,0.155
44.11,300.75,353,0.284
44.61,368.49,383,0.309
45.11,344.51,285,0.230
45.61,273.13,157,0.127
46.11,288.63,383,0.309
46.61,308.15,181,0.146
47.11,304.28,375,0.302
47.61,354.26,174,0.140
48.11,332.68,349,0.281
48.61,335.68,319,0.257
49.11,338.02,335,0.270
49.61,347.24,304,0.245
50.11,296.08,271,0.218
50.61,281.37,350,0.282
51.11,277.67,331,0.267
51.61,308.54,351,0.283
52.11,292.64,363,0.293
52.61,310.35,272,0.219
53.11,290.53,368,0.297
53.61,334.23,182,0.147
54.11,318.39,374,0.301
54.61,363.66,352,0.284
55.11,366.27,188,0.152
55.61,297.31,250,0.201
56.11,287.40,372,0.300
56.61,339.57,239,0.193
57.11,345.42,333,0.268
57.61,335.29,349,0.281
58.11,348.15,223,0.180
58.61,282.01,383,0.309
59.11,343.05,260,0.210
59.61,329.05,192,0.155
