Timestamp(s),Lux,RawAnalog,Voltage(V)
0.18,384.34,417,0.336
0.68,383.70,410,0.330
1.18,383.82,421,0.339
1.68,384.19,423,0.341
2.18,384.37,405,0.326
2.68,384.74,429,0.346
3.18,385.04,404,0.326
3.68,385.10,410,0.330
4.18,385.35,418,0.337
4.68,385.35,427,0.344
5.18,385.41,423,0.341
5.68,385.10,418,0.337
6.18,385.10,427,0.344
6.68,384.98,421,0.339
7.18,385.65,432,0.348
7.68,385.50,432,0.348
8.18,385.59,421,0.339
8.68,385.62,412,0.332
9.18,385.71,405,0.326
9.68,385.44,426,0.343
10.18,385.53,426,0.343
10.68,385.38,407,0.328
11.18,385.47,429,0.346
11.68,385.13,419,0.338
12.18,385.26,423,0.341
12.68,385.44,423,0.341
13.18,385.41,416,0.335
13.68,385.96,416,0.335
14.18,386.02,420,0.338
14.68,385.96,426,0.343
15.18,385.56,409,0.330
15.68,385.99,416,0.335
16.18,385.59,417,0.336
16.68,385.81,414,0.334
17.18,385.71,416,0.335
17.68,385.65,412,0.332
18.18,384.80,400,0.322
18.68,384.62,400,0.322
19.18,384.71,410,0.330
19.68,384.89,411,0.331
20.18,384.89,407,0.328
20.68,384.98,405,0.326
21.18,385.10,411,0.331
21.68,385.07,419,0.338
22.18,385.04,401,0.323
22.68,384.95,415,0.334
23.18,384.56,418,0.337
23.68,384.80,428,0.345
24.18,384.74,412,0.332
24.68,384.80,420,0.338
25.18,384.92,420,0.338
25.68,384.77,419,0.338
26.18,384.86,404,0.326
26.68,384.86,421,0.339
27.18,384.86,422,0.340
27.68,385.01,415,0.334
28.18,385.01,427,0.344
28.68,385.01,419,0.338
29.18,384.95,420,0.338
29.68,384.95,411,0.331
30.18,384.95,403,0.325
30.68,385.17,400,0.322
31.18,385.20,401,0.323
31.68,385.29,405,0.326
32.18,385.50,411,0.331
32.68,384.95,405,0.326
33.18,385.07,412,0.332
33.68,385.01,402,0.324
34.18,384.98,407,0.328
34.68,385.29,402,0.324
35.18,385.17,397,0.320
35.68,385.17,411,0.331
36.18,384.89,412,0.332
36.68,385.17,401,0.323
37.18,385.44,400,0.322
37.68,385.90,407,0.328
38.18,385.93,397,0.320
38.68,385.62,407,0.328
39.18,385.81,402,0.324
39.68,385.96,407,0.328
40.18,385.56,416,0.335
40.68,385.74,409,0.330
41.18,385.90,410,0.330
41.68,386.02,402,0.324
42.18,385.90,410,0.330
42.68,385.68,403,0.325
43.18,385.74,413,0.333
43.68,385.59,409,0.330
44.18,385.47,411,0.331
44.68,385.71,408,0.329
45.18,385.84,405,0.326
45.68,385.74,413,0.333
46.18,386.02,412,0.332
46.68,386.02,407,0.328
47.18,385.71,404,0.326
47.68,385.65,415,0.334
48.18,385.68,409,0.330
48.68,385.50,416,0.335
49.18,385.17,406,0.327
49.68,384.68,419,0.338
50.18,385.20,417,0.336
50.68,384.74,431,0.347
51.18,384.89,419,0.338
51.68,385.07,410,0.330
52.18,385.23,411,0.331
52.68,385.41,419,0.338
53.18,385.17,427,0.344
53.68,384.98,410,0.330
54.18,385.26,418,0.337
54.68,385.10,425,0.342
55.18,385.47,422,0.340
55.68,385.13,414,0.334
56.18,384.74,412,0.332
56.68,385.41,406,0.327
57.18,384.92,411,0.331
57.68,385.07,421,0.339
58.18,385.04,406,0.327
58.68,385.35,419,0.338
59.18,385.84,420,0.338
59.68,385.10,416,0.335
60.18,385.17,405,0.326
60.68,385.47,418,0.337
61.18,385.07,416,0.335
61.68,385.13,430,0.347
62.18,385.01,410,0.330
62.68,385.04,432,0.348
63.18,385.35,421,0.339
63.68,385.17,427,0.344
64.18,385.23,413,0.333
64.68,384.95,423,0.341
65.18,384.71,419,0.338
65.68,384.22,418,0.337
66.18,384.59,405,0.326
66.68,384.77,430,0.347
67.18,384.65,418,0.337
67.68,384.56,409,0.330
68.18,384.62,417,0.336
68.68,384.62,432,0.348
69.18,384.49,400,0.322
69.68,384.71,414,0.334
70.18,384.59,416,0.335
70.68,384.98,416,0.335
71.18,384.80,416,0.335
71.68,384.68,405,0.326
72.18,384.74,399,0.322
72.68,384.56,407,0.328
73.18,384.68,409,0.330
73.68,383.88,400,0.322
74.18,383.70,400,0.322
74.68,383.64,402,0.324
75.18,384.13,400,0.322
75.68,385.32,400,0.322
76.18,385.23,405,0.326
76.68,385.01,411,0.331
77.18,385.07,405,0.326
77.68,384.74,401,0.323
78.18,382.88,358,0.288
78.68,384.56,396,0.319
79.18,385.23,403,0.325
79.68,384.98,401,0.323
80.18,384.83,400,0.322
80.68,384.68,406,0.327
81.18,384.92,402,0.324
81.68,385.38,414,0.334
82.18,385.65,407,0.328
82.68,385.44,399,0.322
83.18,385.35,404,0.326
83.68,385.35,398,0.321
84.18,385.56,403,0.325
84.68,385.41,414,0.334
85.18,385.71,401,0.323
85.68,385.74,417,0.336
86.18,385.35,413,0.333
86.68,385.32,416,0.335
87.18,385.38,417,0.336
87.68,385.50,417,0.336
88.18,385.44,419,0.338
88.68,385.56,414,0.334
89.18,385.23,415,0.334
89.68,385.20,415,0.334
90.18,385.04,422,0.340
90.68,385.10,415,0.334
91.18,385.29,409,0.330
91.68,385.32,404,0.326
92.18,385.56,413,0.333
92.68,385.47,415,0.334
93.18,385.20,406,0.327
93.68,385.10,413,0.333
94.18,385.29,406,0.327
94.68,385.23,405,0.326
95.18,385.29,411,0.331
95.68,385.41,401,0.323
96.18,385.41,411,0.331
96.68,385.23,400,0.322
97.18,385.23,400,0.322
97.68,385.47,411,0.331
98.18,385.20,410,0.330
98.68,385.04,403,0.325
99.18,385.35,411,0.331
99.68,385.10,414,0.334
100.18,385.26,400,0.322
100.68,385.50,403,0.325
101.18,385.17,414,0.334
101.68,385.07,407,0.328
102.18,385.38,402,0.324
102.68,385.10,404,0.326
103.18,385.01,393,0.317
103.68,385.26,413,0.333
104.18,385.17,402,0.324
104.68,385.56,411,0.331
105.18,385.38,412,0.332
105.68,385.32,404,0.326
106.18,385.23,400,0.322
106.68,385.29,418,0.337
107.18,385.35,415,0.334
107.68,385.50,414,0.334
108.18,385.23,406,0.327
108.68,385.23,417,0.336
109.18,384.98,410,0.330
109.68,384.74,414,0.334
110.18,385.20,418,0.337
110.68,384.83,414,0.334
111.18,384.83,417,0.336
111.68,385.20,421,0.339
112.18,384.89,417,0.336
112.68,384.86,415,0.334
113.18,384.74,421,0.339
113.68,384.86,414,0.334
114.18,384.77,417,0.336
114.68,385.26,403,0.325
115.18,384.98,422,0.340
115.68,385.23,418,0.337
116.18,385.35,426,0.343
116.68,384.80,426,0.343
117.18,385.23,418,0.337
117.68,385.26,425,0.342
118.18,385.32,405,0.326
118.68,385.29,417,0.336
119.18,385.35,419,0.338
119.68,385.17,411,0.331
120.18,385.26,411,0.331
120.68,385.32,415,0.334
121.18,385.53,415,0.334
121.68,385.01,415,0.334
122.18,385.32,428,0.345
122.68,385.62,407,0.328
123.18,385.20,407,0.328
123.68,385.04,421,0.339
124.18,384.74,420,0.338
124.68,384.52,414,0.334
125.18,384.92,406,0.327
125.68,384.71,417,0.336
126.18,385.13,407,0.328
126.68,384.92,413,0.333
127.18,384.49,405,0.326
127.68,384.80,416,0.335
128.18,385.10,410,0.330
128.68,384.95,410,0.330
129.18,385.20,421,0.339
129.68,384.98,413,0.333
130.18,384.68,420,0.338
130.68,384.86,414,0.334
131.18,384.74,419,0.338
131.68,384.95,426,0.343
132.18,384.86,419,0.338
132.68,384.86,432,0.348
133.18,384.80,420,0.338
133.68,384.74,423,0.341
134.18,385.01,415,0.334
134.68,384.89,417,0.336
135.18,385.17,417,0.336
135.68,384.68,416,0.335
136.18,384.86,400,0.322
136.68,385.04,413,0.333
137.18,385.17,401,0.323
137.68,385.26,416,0.335
138.18,384.95,414,0.334
138.68,385.10,403,0.325
139.18,385.17,401,0.323
139.68,385.23,422,0.340
140.18,384.74,405,0.326
140.68,385.23,400,0.322
141.18,385.01,405,0.326
141.68,385.01,404,0.326
142.18,384.92,418,0.337
142.68,385.26,425,0.342
143.18,384.89,411,0.331
143.68,384.86,417,0.336
144.18,384.98,415,0.334
144.68,385.04,418,0.337
145.18,385.17,400,0.322
145.68,384.92,418,0.337
146.18,385.41,421,0.339
146.68,385.04,422,0.340
147.18,385.10,418,0.337
147.68,384.74,431,0.347
148.18,385.04,414,0.334
148.68,385.23,414,0.334
149.18,384.92,401,0.323
149.68,385.13,415,0.334
150.18,384.95,417,0.336
150.68,385.10,413,0.333
151.18,385.04,411,0.331
151.68,384.77,413,0.333
152.18,385.07,419,0.338
152.68,384.83,418,0.337
153.18,384.56,408,0.329
153.68,384.77,409,0.330
154.18,384.77,413,0.333
154.68,384.65,402,0.324
155.18,384.68,413,0.333
155.68,384.37,400,0.322
156.18,384.34,415,0.334
156.68,383.94,429,0.346
157.18,384.37,417,0.336
157.68,384.37,414,0.334
158.18,384.31,432,0.348
158.68,384.16,418,0.337
159.18,384.19,421,0.339
159.68,384.16,429,0.346
160.18,384.34,421,0.339
160.68,384.43,414,0.334
161.18,384.16,409,0.330
161.68,384.46,411,0.331
162.18,384.28,413,0.333
162.68,384.13,406,0.327
163.18,384.34,428,0.345
163.68,384.49,417,0.336
164.18,384.25,415,0.334
164.68,384.37,426,0.343
165.18,384.31,407,0.328
165.68,384.07,406,0.327
166.18,383.88,405,0.326
166.68,384.22,403,0.325
167.18,383.94,409,0.330
167.68,383.85,405,0.326
168.18,384.40,391,0.315
168.68,384.49,398,0.321
169.18,384.22,393,0.317
169.68,384.01,403,0.325
170.18,384.19,400,0.322
170.68,384.13,401,0.323
171.18,383.76,422,0.340
171.68,383.64,415,0.334
172.18,384.01,419,0.338
172.68,383.98,412,0.332
173.18,384.01,416,0.335
173.68,384.13,411,0.331
174.18,383.94,419,0.338
174.68,384.01,423,0.341
175.18,383.88,418,0.337
175.68,383.76,423,0.341
176.18,383.70,413,0.333
176.68,383.46,423,0.341
177.18,383.82,419,0.338
177.68,383.88,421,0.339
178.18,383.85,414,0.334
178.68,384.13,418,0.337
179.18,384.04,419,0.338
179.68,384.07,422,0.340
180.18,383.67,427,0.344
180.68,383.94,413,0.333
181.18,383.85,400,0.322
181.68,383.52,416,0.335
182.18,383.58,411,0.331
182.68,383.73,411,0.331
183.18,383.52,405,0.326
183.68,383.88,410,0.330
184.18,383.82,405,0.326
184.68,383.73,405,0.326
185.18,383.91,410,0.330
185.68,383.73,391,0.315
186.18,383.58,400,0.322
186.68,383.79,400,0.322
187.18,383.67,402,0.324
187.68,383.79,405,0.326
188.18,384.04,400,0.322
188.68,383.94,406,0.327
189.18,383.91,394,0.318
189.68,383.98,404,0.326
190.18,384.07,401,0.323
190.68,384.10,400,0.322
191.18,383.94,386,0.311
191.68,384.07,403,0.325
192.18,384.07,388,0.313
192.68,383.98,401,0.323
193.18,383.94,395,0.318
193.68,384.16,407,0.328
194.18,384.19,409,0.330
194.68,384.28,406,0.327
195.18,384.13,396,0.319
195.68,384.22,389,0.313
196.18,384.25,401,0.323
196.68,384.01,401,0.323
197.18,383.94,409,0.330
197.68,384.28,403,0.325
198.18,383.88,414,0.334
198.68,383.94,406,0.327
199.18,383.88,400,0.322
199.68,383.88,400,0.322
200.18,384.19,400,0.322
200.68,384.28,407,0.328
201.18,384.31,406,0.327
201.68,384.43,410,0.330
202.18,384.68,422,0.340
202.68,384.07,417,0.336
203.18,383.52,402,0.324
203.68,383.88,415,0.334
204.18,383.76,405,0.326
204.68,383.82,416,0.335
205.18,383.70,406,0.327
205.68,383.94,413,0.333
206.18,383.70,413,0.333
206.68,383.67,419,0.338
207.18,383.91,416,0.335
207.68,383.64,414,0.334
208.18,383.58,400,0.322
208.68,383.91,443,0.357
209.18,383.82,419,0.338
209.68,383.64,416,0.335
210.18,384.04,413,0.333
210.68,383.55,415,0.334
211.18,383.58,429,0.346
211.68,384.10,415,0.334
212.18,384.01,414,0.334
212.68,383.52,400,0.322
213.18,383.61,422,0.340
213.68,383.64,383,0.309
214.18,383.55,400,0.322
214.68,383.82,407,0.328
215.18,383.79,427,0.344
215.68,383.76,413,0.333
216.18,384.04,415,0.334
216.68,383.73,385,0.310
217.18,383.64,414,0.334
217.68,383.67,408,0.329
218.18,384.04,429,0.346
218.68,383.52,371,0.299
219.18,383.94,423,0.341
219.68,383.76,400,0.322
220.18,383.64,454,0.366
220.68,383.79,427,0.344
221.18,383.70,411,0.331
221.68,383.88,419,0.338
222.18,383.70,428,0.345
222.68,383.27,427,0.344
223.18,383.58,414,0.334
223.68,383.67,427,0.344
224.18,383.64,406,0.327
224.68,383.43,413,0.333
225.18,383.55,394,0.318
225.68,383.49,393,0.317
226.18,383.70,381,0.307
226.68,383.82,405,0.326
227.18,383.91,401,0.323
227.68,383.82,397,0.320
228.18,383.94,400,0.322
228.68,384.04,411,0.331
229.18,383.67,394,0.318
229.68,383.88,403,0.325
230.18,383.76,402,0.324
230.68,383.70,403,0.325
231.18,383.73,409,0.330
231.68,383.55,400,0.322
232.18,383.70,411,0.331
232.68,383.79,377,0.304
233.18,383.70,426,0.343
233.68,383.79,419,0.338
234.18,383.58,408,0.329
234.68,383.67,411,0.331
235.18,383.70,416,0.335
235.68,383.64,408,0.329
236.18,383.85,432,0.348
236.68,383.82,418,0.337
237.18,383.91,406,0.327
237.68,383.67,420,0.338
238.18,383.85,416,0.335
238.68,383.98,402,0.324
239.18,383.88,429,0.346
239.68,383.94,419,0.338
240.18,383.88,411,0.331
