Timestamp(s),Radar_State,Mic_Trigger,Fused_System_State
0.02,1,0,1
0.23,1,0,1
0.42,1,0,1
0.62,1,0,1
0.83,1,0,1
1.02,1,0,1
1.23,1,0,1
1.43,1,0,1
1.63,1,0,1
1.83,1,0,1
2.03,1,0,1
2.22,1,0,1
2.42,1,0,1
2.62,1,0,1
2.82,1,0,1
3.03,1,0,1
3.23,1,0,1
3.43,1,0,1
3.63,1,0,1
3.82,1,0,1
4.03,1,0,1
4.23,1,0,1
4.43,1,0,1
4.63,1,0,1
4.82,1,0,1
5.02,1,0,1
5.22,1,0,1
5.42,1,0,1
5.63,1,0,1
5.83,1,0,1
6.03,1,0,1
6.23,1,1,1
6.43,1,1,1
6.63,1,1,1
6.83,1,1,1
7.03,1,0,1
7.23,1,1,1
7.43,1,1,1
7.63,1,0,1
7.82,1,0,1
8.03,1,0,1
8.22,1,0,1
8.42,1,0,1
8.62,1,0,1
8.83,1,0,1
9.03,1,0,1
9.23,1,0,1
9.43,1,0,1
9.63,1,0,1
9.82,1,0,1
10.02,1,0,1
10.22,1,0,1
10.42,1,1,1
10.62,1,0,1
10.82,1,1,1
11.02,1,1,1
11.23,1,1,1
11.42,1,1,1
11.62,1,1,1
11.82,1,0,1
12.02,1,0,1
12.22,1,1,1
12.42,1,1,1
12.63,1,0,1
12.83,1,0,1
13.03,1,0,1
13.23,1,0,1
13.43,1,0,1
13.63,1,0,1
13.83,1,0,1
14.03,1,0,1
14.22,1,0,1
14.42,1,0,1
14.62,1,0,1
14.82,1,1,1
15.02,1,0,1
15.22,1,0,1
15.42,1,0,1
15.63,1,0,1
15.83,1,0,1
16.02,1,0,1
16.22,1,0,1
16.42,1,0,1
16.62,1,0,1
16.82,1,0,1
17.02,1,0,1
17.22,1,0,1
17.42,1,0,1
17.62,1,0,1
17.84,1,0,1
18.02,1,0,1
18.22,1,0,1
18.42,1,0,1
18.62,1,0,1
18.83,1,0,1
19.03,1,0,1
19.23,1,0,1
19.43,1,0,1
19.63,1,0,1
19.82,1,1,1
20.03,1,0,1
20.23,1,0,1
20.43,1,0,1
20.63,1,0,1
20.83,1,0,1
21.03,1,0,1
21.23,1,0,1
21.43,1,0,1
21.63,1,0,1
21.83,1,0,1
22.03,1,0,1
22.22,1,0,1
22.42,1,0,1
22.62,1,0,1
22.82,1,0,1
23.03,1,0,1
23.22,1,0,1
23.42,1,0,1
23.62,1,0,1
23.82,1,1,1
24.02,1,0,1
24.22,1,0,1
24.42,1,0,1
24.62,1,0,1
24.82,1,0,1
25.02,1,0,1
25.23,1,0,1
