Timestamp(s),Lux,LED_Brightness,InstantPower_W,SavedPower_W,AccumulatedSavings_Wh
0.35,5.05,255,7.500,0.000,0.276209
0.85,4.48,255,7.500,0.000,0.276209
1.35,4.16,255,7.500,0.000,0.276209
1.85,4.10,255,7.500,0.000,0.276209
2.35,3.75,255,7.500,0.000,0.276209
2.85,3.84,255,7.500,0.000,0.276209
3.35,3.78,255,7.500,0.000,0.276209
3.85,3.81,255,7.500,0.000,0.276209
4.35,3.81,255,7.500,0.000,0.276209
4.85,3.98,255,7.500,0.000,0.276209
5.35,3.98,255,7.500,0.000,0.276209
5.85,4.01,255,7.500,0.000,0.276209
6.35,3.98,255,7.500,0.000,0.276209
6.85,3.98,255,7.500,0.000,0.276209
7.35,3.98,255,7.500,0.000,0.276209
7.85,4.07,255,7.500,0.000,0.276209
8.35,4.01,255,7.500,0.000,0.276209
8.85,3.98,255,7.500,0.000,0.276209
9.35,4.04,255,7.500,0.000,0.276209
9.85,4.19,255,7.500,0.000,0.276209
10.35,4.04,255,7.500,0.000,0.276209
10.85,4.04,255,7.500,0.000,0.276209
11.35,4.16,255,7.500,0.000,0.276209
11.85,4.24,255,7.500,0.000,0.276209
12.35,4.10,255,7.500,0.000,0.276209
12.85,4.10,255,7.500,0.000,0.276209
13.35,4.16,255,7.500,0.000,0.276209
13.85,4.10,255,7.500,0.000,0.276209
14.35,4.16,255,7.500,0.000,0.276209
14.85,4.22,255,7.500,0.000,0.276209
15.35,4.16,255,7.500,0.000,0.276209
15.85,4.10,255,7.500,0.000,0.276209
16.35,4.07,255,7.500,0.000,0.276209
16.85,4.01,255,7.500,0.000,0.276209
17.35,3.87,255,7.500,0.000,0.276209
17.85,3.93,255,7.500,0.000,0.276209
18.36,3.87,255,7.500,0.000,0.276209
18.85,3.96,255,7.500,0.000,0.276209
19.35,4.07,255,7.500,0.000,0.276209
19.85,4.04,255,7.500,0.000,0.276209
20.35,4.01,255,7.500,0.000,0.276209
20.85,4.01,255,7.500,0.000,0.276209
21.35,4.04,255,7.500,0.000,0.276209
21.85,4.04,255,7.500,0.000,0.276209
22.35,3.93,255,7.500,0.000,0.276209
22.85,3.98,255,7.500,0.000,0.276209
23.35,4.07,255,7.500,0.000,0.276209
23.85,3.98,255,7.500,0.000,0.276209
24.35,4.01,255,7.500,0.000,0.276209
24.85,4.04,255,7.500,0.000,0.276209
25.35,3.96,255,7.500,0.000,0.276209
25.85,3.93,255,7.500,0.000,0.276209
26.35,4.01,255,7.500,0.000,0.276209
26.85,3.93,255,7.500,0.000,0.276209
27.35,3.90,255,7.500,0.000,0.276209
27.85,3.75,255,7.500,0.000,0.276209
28.35,3.67,255,7.500,0.000,0.276209
28.85,3.70,255,7.500,0.000,0.276209
29.35,3.81,255,7.500,0.000,0.276209
29.85,3.81,255,7.500,0.000,0.276209
30.35,3.78,255,7.500,0.000,0.276209
30.85,3.75,255,7.500,0.000,0.276209
31.35,3.90,255,7.500,0.000,0.276209
31.85,3.87,255,7.500,0.000,0.276209
32.35,3.75,255,7.500,0.000,0.276209
32.85,3.87,255,7.500,0.000,0.276209
33.35,4.07,255,7.500,0.000,0.276209
33.85,3.93,255,7.500,0.000,0.276209
34.35,3.87,255,7.500,0.000,0.276209
34.85,3.93,255,7.500,0.000,0.276209
35.35,3.93,255,7.500,0.000,0.276209
35.85,3.93,255,7.500,0.000,0.276209
36.35,3.98,255,7.500,0.000,0.276209
36.85,3.98,255,7.500,0.000,0.276209
37.35,4.07,255,7.500,0.000,0.276209
37.85,4.13,255,7.500,0.000,0.276209
38.35,4.04,255,7.500,0.000,0.276209
38.85,3.90,255,7.500,0.000,0.276209
39.35,3.87,255,7.500,0.000,0.276209
39.85,3.96,255,7.500,0.000,0.276209
40.35,3.87,255,7.500,0.000,0.276209
40.86,3.87,255,7.500,0.000,0.276209
41.35,3.98,255,7.500,0.000,0.276209
41.85,3.93,255,7.500,0.000,0.276209
42.35,3.93,255,7.500,0.000,0.276209
42.85,4.10,255,7.500,0.000,0.276209
43.35,4.30,255,7.500,0.000,0.276209
43.85,7.34,255,7.500,0.000,0.276209
44.35,14.25,255,7.500,0.000,0.276209
44.85,20.59,255,7.500,0.000,0.276209
45.35,30.44,255,7.500,0.000,0.276209
45.85,41.62,255,7.500,0.000,0.276209
46.35,84.86,255,7.500,0.000,0.276209
46.85,157.40,218,6.434,1.066,0.276357
47.35,240.80,165,4.906,2.594,0.276717
47.84,242.53,164,4.877,2.623,0.277082
48.35,200.66,190,5.626,1.874,0.277342
48.85,205.30,187,5.540,1.960,0.277614
49.35,229.04,172,5.108,2.392,0.277946
49.85,237.86,167,4.964,2.536,0.278299
50.35,284.72,137,4.099,3.401,0.278771
50.85,334.35,105,3.176,4.324,0.279372
51.35,341.63,100,3.032,4.468,0.279992
51.85,341.72,100,3.032,4.468,0.280613
52.34,341.99,100,3.032,4.468,0.281233
52.85,342.02,100,3.032,4.468,0.281854
53.34,341.84,100,3.032,4.468,0.282474
53.85,341.96,100,3.032,4.468,0.283095
54.35,341.84,100,3.032,4.468,0.283715
54.85,341.45,101,3.061,4.439,0.284332
55.35,340.93,101,3.061,4.439,0.284948
55.85,340.84,101,3.061,4.439,0.285565
56.34,340.75,101,3.061,4.439,0.286181
56.85,340.66,101,3.061,4.439,0.286798
57.35,340.81,101,3.061,4.439,0.287414
57.85,340.78,101,3.061,4.439,0.288031
58.35,340.48,101,3.061,4.439,0.288647
58.85,340.78,101,3.061,4.439,0.289264
59.34,340.72,101,3.061,4.439,0.289880
59.85,340.84,101,3.061,4.439,0.290497
60.35,340.78,101,3.061,4.439,0.291113
60.85,340.54,101,3.061,4.439,0.291730
61.35,340.57,101,3.061,4.439,0.292346
61.85,340.51,101,3.061,4.439,0.292963
62.35,340.63,101,3.061,4.439,0.293579
62.85,340.99,101,3.061,4.439,0.294196
63.35,341.87,100,3.032,4.468,0.294816
63.85,342.08,100,3.032,4.468,0.295437
64.35,342.20,100,3.032,4.468,0.296057
64.85,342.42,100,3.032,4.468,0.296678
65.35,342.20,100,3.032,4.468,0.297298
65.85,342.27,100,3.032,4.468,0.297919
66.35,342.05,100,3.032,4.468,0.298539
66.85,341.72,100,3.032,4.468,0.299160
67.35,341.90,100,3.032,4.468,0.299780
67.85,341.84,100,3.032,4.468,0.300401
68.35,341.42,101,3.061,4.439,0.301017
68.85,340.81,101,3.061,4.439,0.301634
69.35,338.63,102,3.090,4.410,0.302246
69.85,337.17,103,3.119,4.381,0.302855
70.35,305.52,123,3.695,3.805,0.303383
70.85,269.20,147,4.387,3.113,0.303815
71.35,253.95,156,4.646,2.854,0.304212
71.85,235.29,168,4.992,2.508,0.304560
72.34,221.37,177,5.252,2.248,0.304872
72.85,203.69,188,5.569,1.931,0.305140
73.35,200.45,190,5.626,1.874,0.305401
73.85,200.48,190,5.626,1.874,0.305661
74.35,207.21,186,5.511,1.989,0.305937
74.85,211.08,184,5.454,2.046,0.306221
75.34,202.86,189,5.598,1.902,0.306486
75.84,196.28,193,5.713,1.787,0.306734
76.35,195.57,194,5.742,1.758,0.306978
76.85,201.13,190,5.626,1.874,0.307238
77.35,199.70,191,5.655,1.845,0.307494
77.85,194.05,195,5.771,1.729,0.307735
78.35,195.81,193,5.713,1.787,0.307983
78.85,187.78,199,5.886,1.614,0.308207
79.35,179.26,204,6.030,1.470,0.308411
79.85,174.16,207,6.116,1.384,0.308603
80.35,155.80,219,6.462,1.038,0.308747
80.85,159.12,217,6.405,1.095,0.308900
81.35,143.01,227,6.693,0.807,0.309012
81.85,116.33,244,7.183,0.317,0.309056
82.35,92.59,255,7.500,0.000,0.309056
82.85,110.24,248,7.298,0.202,0.309084
83.35,66.54,255,7.500,0.000,0.309084
83.85,51.77,255,7.500,0.000,0.309084
84.35,25.83,255,7.500,0.000,0.309084
84.84,16.74,255,7.500,0.000,0.309084
85.35,9.30,255,7.500,0.000,0.309084
85.85,6.64,255,7.500,0.000,0.309084
86.35,6.44,255,7.500,0.000,0.309084
86.85,6.76,255,7.500,0.000,0.309084
87.35,6.24,255,7.500,0.000,0.309084
87.85,5.95,255,7.500,0.000,0.309084
88.35,16.24,255,7.500,0.000,0.309084
88.85,54.10,255,7.500,0.000,0.309084
89.35,153.85,220,6.491,1.009,0.309224
89.85,227.67,173,5.136,2.364,0.309552
90.34,255.81,155,4.618,2.882,0.309952
90.85,248.10,160,4.762,2.738,0.310333
91.34,257.46,154,4.589,2.911,0.310737
91.85,258.81,153,4.560,2.940,0.311145
92.35,249.78,159,4.733,2.767,0.311530
92.85,239.69,165,4.906,2.594,0.311890
93.35,294.21,131,3.926,3.574,0.312386
93.85,316.94,116,3.494,4.006,0.312943
94.35,341.11,101,3.061,4.439,0.313559
94.85,341.78,100,3.032,4.468,0.314180
95.34,341.99,100,3.032,4.468,0.314800
95.85,341.51,101,3.061,4.439,0.315417
96.35,341.23,101,3.061,4.439,0.316033
96.85,341.45,101,3.061,4.439,0.316650
97.35,341.36,101,3.061,4.439,0.317266
97.85,341.26,101,3.061,4.439,0.317883
98.35,341.29,101,3.061,4.439,0.318499
98.85,539.20,0,0.150,7.350,0.319520
99.35,1064.98,0,0.150,7.350,0.320541
99.85,1617.87,0,0.150,7.350,0.321562
100.35,1917.92,0,0.150,7.350,0.322583
100.85,1762.95,0,0.150,7.350,0.323603
101.35,1598.48,0,0.150,7.350,0.324624
101.85,1601.69,0,0.150,7.350,0.325645
102.35,1625.98,0,0.150,7.350,0.326666
102.85,1658.78,0,0.150,7.350,0.327687
103.35,1715.75,0,0.150,7.350,0.328707
103.84,1771.65,0,0.150,7.350,0.329728
104.35,1789.57,0,0.150,7.350,0.330749
104.85,1800.68,0,0.150,7.350,0.331770
105.35,1788.05,0,0.150,7.350,0.332791
105.85,1845.25,0,0.150,7.350,0.333812
106.35,2021.77,0,0.150,7.350,0.334832
106.86,2126.52,0,0.150,7.350,0.335853
107.35,2509.04,0,0.150,7.350,0.336874
107.85,3502.84,0,0.150,7.350,0.337895
108.35,3451.85,0,0.150,7.350,0.338916
108.85,3561.80,0,0.150,7.350,0.339936
109.35,3542.89,0,0.150,7.350,0.340957
109.85,3517.68,0,0.150,7.350,0.341978
110.35,3598.85,0,0.150,7.350,0.342999
110.85,3662.98,0,0.150,7.350,0.344020
111.34,3596.97,0,0.150,7.350,0.345041
111.85,3568.49,0,0.150,7.350,0.346061
112.35,3537.56,0,0.150,7.350,0.347082
112.85,3426.05,0,0.150,7.350,0.348103
113.35,3443.47,0,0.150,7.350,0.349124
113.85,3465.54,0,0.150,7.350,0.350145
114.35,3464.34,0,0.150,7.350,0.351166
114.85,3472.50,0,0.150,7.350,0.352186
115.35,3418.73,0,0.150,7.350,0.353207
115.85,3389.38,0,0.150,7.350,0.354228
116.35,3374.53,0,0.150,7.350,0.355249
116.85,3319.52,0,0.150,7.350,0.356270
117.35,3339.56,0,0.150,7.350,0.357290
117.85,3369.08,0,0.150,7.350,0.358311
118.35,3322.80,0,0.150,7.350,0.359332
118.85,3297.87,0,0.150,7.350,0.360353
119.35,3258.17,0,0.150,7.350,0.361374
119.84,3276.75,0,0.150,7.350,0.362395
