Timestamp(s),PIR_State,mmWave_State
0.13,1,1
0.33,1,1
0.53,1,1
0.73,1,1
0.93,1,1
1.13,1,1
1.33,1,1
1.53,1,1
1.73,1,1
1.92,1,1
2.12,1,1
2.33,1,1
2.52,1,1
2.73,1,1
2.93,1,1
3.13,1,1
3.33,1,1
3.53,1,1
3.73,1,1
3.92,1,1
4.12,1,1
4.33,1,1
4.52,1,1
4.73,1,1
4.93,1,1
5.13,1,1
5.32,1,1
5.53,1,1
5.72,1,1
5.92,1,1
6.13,1,1
6.33,1,1
6.53,1,1
6.73,1,1
6.92,1,1
7.13,1,1
7.33,1,1
7.53,1,1
7.75,1,1
7.92,1,1
8.13,1,1
8.33,1,1
8.53,1,1
8.73,1,1
8.93,1,1
9.12,1,1
9.32,1,1
9.52,1,1
9.73,1,1
9.93,1,1
10.13,1,1
10.33,1,1
10.53,1,1
10.73,1,1
10.93,1,1
11.13,1,1
11.33,1,1
11.53,1,1
11.73,1,1
11.93,1,1
12.13,1,1
12.33,1,1
12.53,1,1
12.73,1,1
12.93,1,1
13.13,1,1
13.33,1,1
13.53,1,1
13.73,1,1
13.93,1,1
14.13,1,1
14.33,1,1
14.53,1,1 - OUT
14.73,1,1
14.93,1,1
15.13,1,1
15.33,1,1
15.53,1,1
15.73,1,1
15.93,1,1
16.13,1,1
16.33,1,1
16.53,1,1
16.73,1,1
16.92,1,1
17.12,1,1
17.32,1,1
17.52,1,1
17.72,1,1
17.93,1,1
18.13,1,1
18.33,1,1
18.53,1,1
18.72,1,1
18.93,1,1
19.13,1,1
19.33,1,1
19.53,1,1
19.73,1,1
19.93,1,1
20.13,1,1
20.33,1,1
20.53,1,1
20.73,1,1
20.93,1,1
21.13,1,1
21.33,1,1
21.53,1,1
21.73,1,1
21.93,1,1
22.13,1,1
22.33,1,1
22.53,1,1
22.73,1,1
22.93,1,1
23.12,1,1
23.33,1,1
23.53,1,1
23.72,1,1
23.92,1,1
24.13,1,1
24.33,1,1
24.52,1,1
24.72,1,1
24.93,1,1
25.13,1,1
25.33,1,1
25.52,1,1
25.72,1,1
25.93,1,1
26.12,1,1
26.32,1,1
26.53,1,1
26.73,1,1
26.93,1,1
27.13,1,1
27.33,1,1
27.53,1,1
27.73,1,1
27.93,1,1
28.12,1,1
28.33,1,1
28.53,1,1
28.73,1,1
28.93,1,1
29.13,1,1
29.33,1,1
29.53,1,1
29.73,1,1
29.93,1,1
30.14,1,1
30.33,1,1
30.53,1,1
30.73,1,1
30.93,1,1
31.13,1,1
31.33,1,1
31.53,1,1
31.75,1,1
31.92,1,1
32.13,1,1
32.33,1,1
32.53,1,1
32.73,1,1
32.92,1,1
33.13,1,1
33.32,1,1
33.53,1,1
33.72,1,1
33.93,1,1
34.13,1,1
34.33,1,1
34.53,1,1
34.73,1,1
34.93,1,1
35.12,1,1
35.33,1,1
35.53,1,1
35.73,1,1
35.93,1,1
36.13,1,1
36.33,1,1
36.53,1,1
36.73,1,1
36.93,1,1
37.13,1,1
37.33,1,1
37.53,1,1
37.73,1,1
37.93,1,1
38.12,1,1
38.32,1,1
38.52,1,1
38.73,1,1
38.93,1,1
39.13,1,1
39.33,1,1
39.53,1,1
39.73,1,1
39.93,1,1
40.13,1,1
40.33,1,1
40.53,1,1
40.72,1,1
40.92,1,1
41.12,1,1
41.33,1,1
41.53,1,1
41.73,1,1
41.92,1,1
42.12,1,1
42.33,1,1
42.53,1,1
42.72,1,1
42.93,1,1
43.13,1,1
43.33,1,1
43.53,1,1
43.73,1,1
43.94,1,1
44.13,1,1
44.33,1,1
44.53,1,1
44.73,1,1
44.93,1,1
45.13,1,1
45.32,1,1
45.53,1,1
45.73,1,1
45.93,1,1
46.13,1,1
46.33,1,1
46.53,1,1
46.73,1,1
46.92,1,0
47.12,1,0
47.33,1,0
47.52,1,0
47.72,1,0
47.93,1,0
48.13,1,0
48.33,1,0
48.53,1,0
48.73,1,0
48.93,1,0
49.13,1,0
49.33,1,0
49.53,1,0
49.73,1,0
49.93,1,0
50.13,1,0
50.33,1,0
50.53,1,0
50.73,1,0
50.93,1,0
51.13,1,0
51.33,1,0
51.53,1,0
51.72,1,0
51.93,1,0
52.13,1,0
52.33,1,0
52.53,1,0
52.73,1,0
52.93,1,0
53.13,1,0
53.35,1,0
53.53,1,0
53.73,1,0
53.93,1,0
54.12,1,0
54.33,1,0
54.53,1,0
54.73,1,0
54.93,1,0
55.13,1,0
55.33,1,0
55.53,1,0
55.73,1,0
55.93,1,0
56.13,1,0
56.33,1,0
56.52,1,0
56.72,1,0
56.93,1,0
57.12,1,0
57.33,1,0
57.53,1,0
57.73,1,0
57.93,1,0
58.13,1,0
58.33,1,0
58.53,1,0
58.73,1,0
58.93,1,0
59.13,1,0
59.33,1,0
59.53,1,0
59.73,1,0
59.92,1,0
60.12,1,0
60.33,1,0
60.53,1,0
60.73,1,0
60.93,1,0
61.13,1,0
61.32,1,0
61.53,1,0
61.73,1,0
61.93,1,0
62.13,1,0
62.33,1,0
62.53,1,0
62.72,1,0
62.93,1,0
63.13,1,0
63.33,1,0
63.53,1,0
63.73,1,0
63.93,1,0
64.13,1,0
64.33,1,0
64.53,1,0
64.73,1,0
64.93,1,0
65.12,1,0
65.33,1,0
65.52,1,0
65.73,1,0
65.94,1,0
66.12,1,0
66.33,1,0
66.53,1,0
66.73,1,0
66.93,1,0
67.12,1,0
67.33,1,0
67.53,1,0
67.72,1,0
67.93,1,0
68.13,1,0
68.33,1,0
68.53,1,0
68.72,1,0
68.93,1,0
69.13,1,0
69.33,1,0
69.53,1,0
69.73,1,0
69.93,1,0
70.13,1,0
70.33,1,0
70.53,1,0
70.73,1,0
70.93,1,0
71.13,1,0
71.33,1,0
71.53,1,0
71.73,1,0
71.93,1,0
72.13,1,0
72.33,1,0
72.53,1,0
72.72,1,0
72.93,1,0
73.12,1,0
73.33,1,0
73.53,1,0
73.73,1,0
73.93,1,0
74.13,1,0
74.33,1,0
74.53,1,0
74.72,1,0
74.93,1,0
75.13,1,0
75.33,1,0
75.53,1,0
75.73,1,0
75.93,1,0
76.13,1,0
76.33,1,0
76.53,1,0
76.73,1,0
76.93,1,0
77.13,1,0
77.33,1,0
77.53,1,0
77.73,1,0
77.93,1,0
78.13,1,0
78.33,1,0
78.53,1,0
78.73,1,0
78.93,1,0
79.13,1,0
79.33,1,0
79.53,1,0
79.73,1,0
79.93,1,0
80.13,1,0
80.33,1,0
80.53,1,0
80.73,1,0
80.93,1,0
81.13,1,0
81.32,1,0
81.52,1,0
81.73,1,0
81.93,1,0
82.13,1,0
82.33,1,0
82.53,1,0
82.73,1,0
82.93,1,0
83.13,1,0
83.32,1,0
83.53,1,0
83.73,1,0
83.93,1,0
84.13,1,0
84.33,1,0
84.53,1,0
84.73,1,0
84.93,1,0
85.13,1,0
85.33,1,0
85.53,1,0
85.72,1,0
85.92,1,0
86.13,1,0
86.33,1,0
86.53,1,0
86.73,1,0
86.93,1,0
87.12,1,0
87.33,1,0
87.53,1,0
87.73,1,0
87.93,1,0
88.13,1,0
88.33,1,0
88.53,1,0
88.73,1,0
88.92,1,0
89.13,1,0
89.33,1,0
89.53,1,0
89.73,1,0
89.93,1,0
90.13,1,0
90.33,1,0
90.53,1,0
90.72,1,0
90.92,1,0
91.13,1,0
91.33,1,0
91.53,1,0
91.73,1,0
91.93,1,0
92.13,1,0
92.33,1,0
92.53,1,0
92.73,1,0
92.93,1,0
93.13,1,0
93.33,1,0
93.53,1,0
93.73,1,0
93.93,1,0
94.13,1,0
94.32,1,0
94.53,1,0
94.73,1,0
94.93,1,0
95.13,1,0
95.33,1,0
95.53,1,0
95.73,1,0
95.93,1,0
96.12,1,0
96.33,1,0
96.53,1,0
96.73,1,0
96.93,1,0
97.13,1,0
97.33,1,0
97.53,1,0
97.73,1,0
97.93,1,0
98.13,1,0
98.33,1,0
98.53,1,0
98.72,1,0
98.92,1,0
99.12,1,0
99.32,1,0
99.53,1,0
99.73,1,0
99.93,1,0
100.13,1,0
100.33,1,0
100.53,1,0
100.73,1,0
100.93,1,0
101.13,1,0
101.33,1,0
101.53,1,0
101.73,1,0
101.93,1,0
102.13,1,0
102.34,1,0
102.52,1,0
102.76,1,0
102.93,1,0
103.13,1,0
103.32,1,0
103.53,1,0
103.73,1,0
103.93,1,0
104.13,1,0
104.33,1,0
104.53,1,0
104.73,1,0
104.93,1,0
105.12,1,0
105.33,1,0
105.53,1,0
105.73,1,0
105.93,1,0
106.13,1,0
106.33,1,0
106.53,1,0
106.73,1,0
106.93,1,0
107.12,1,0
107.33,1,0
107.52,1,0
107.73,1,0
107.93,1,0
108.13,1,0
108.33,1,0
108.52,1,0
108.73,1,0
108.93,1,0
109.13,1,0
109.33,1,0
109.53,1,0
109.72,1,0
109.92,1,0
110.12,1,0
110.33,1,0
110.53,1,0
110.73,1,0
110.93,1,0
111.13,1,0
111.33,1,0
111.53,1,0
111.73,1,0
111.93,1,0
